UF;Ano;Obitos Obs;Prop Incremento
Minas Gerais;2018;135;
Espírito Santo;2018;32;
Rio de Janeiro;2018;136;
São Paulo;2018;303;
Paraná;2018;60;
Santa Catarina;2018;35;
Rio Grande do Sul;2018;51;
Mato Grosso do Sul;2018;29;
Mato Grosso;2018;34;
Goiás;2018;64;
Distrito Federal;2018;24;
Brasil;2019;1576;
Rondônia;2019;13;
Acre;2019;8;
Amazonas;2019;60;
Roraima;2019;11;
Pará;2019;121;
Amapá;2019;5;
Tocantins;2019;15;
Maranhão;2019;85;
Piauí;2019;41;
Ceará;2019;75;
Rio Grande do Norte;2019;31;
Paraíba;2019;36;
Pernambuco;2019;64;
Alagoas;2019;29;
Sergipe;2019;12;
Bahia;2019;105;
Minas Gerais;2019;115;
Espírito Santo;2019;29;
Rio de Janeiro;2019;155;
São Paulo;2019;283;
Paraná;2019;68;
Santa Catarina;2019;30;
Rio Grande do Sul;2019;49;
Mato Grosso do Sul;2019;22;
Mato Grosso;2019;38;
Goiás;2019;67;
Distrito Federal;2019;9;
